Seq,CoQ number,CoQ type,Basis date,Issue date,Packaged lot,Cultivation batch,Strain,Grade,iCoA reference,№,Group,Parameter,Параметар,Method / reference,Acceptance criterion,Result,Source document,Document date,Issuing institution,Report series,Status,Performed by,Also on file
1082,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
1083,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,2,,Identification B · Microscopic,Идентиф. Б · Микроскопски,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
1084,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,3,,Identification C · HPLC/HPTLC,Идентиф. Ц · HPLC/HPTLC,Ph. Eur. 2.2.29 (3028),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,outside laboratory — the HPLC cannabinoid certificate discharges Ident C (Farmahem -K- or CNP); in-house iCoA P03 only where none exists,
1085,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,4,,Assay — Total Δ⁹-THC,Анализа — вкупен Δ⁹-THC,Ph. Eur. 2.2.29 (HPLC),Per grade of the potency specification of 15.09.2026 — no Total THC result on file,—,—,,,,not tested — no certificate covers it,,17.84 (197-21-К/26)
1086,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,5,,Assay — Total CBD,Анализа — вкупен CBD,Ph. Eur. 2.2.29 (HPLC) · CBD + CBDA x 0.877,"≤ 1.0%, w/w",—,—,,,,not tested — no certificate covers it,,<LOQ (197-21-К/26)
1087,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,6,,Total CBN,Вкупен CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",—,—,,,,not tested — no certificate covers it,,<LOQ (197-21-К/26)
1088,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,7,,Foreign Matter,Страни материи,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
1089,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,8,,Loss on Drying,Губиток при сушење,"Ph. Eur. 2.2.32 (3028) · at 40 °C, 24 h, 15–25 mbar",≤ 12.0%,—,—,,,,not tested — no certificate covers it,,
1090,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,9.1,Microbiological Purity | Микробиолошка Чистота,TAMC,Вкупен аеробен микробен број,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,—,—,,,,not tested — no certificate covers it,,
1091,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,9.2,Microbiological Purity | Микробиолошка Чистота,TYMC,Вкупен број квасци/мувли,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,—,—,,,,not tested — no certificate covers it,,
1092,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,9.3,Microbiological Purity | Микробиолошка Чистота,Bile-tolerant gram-neg.,Жолчно-толерантни грам-нег.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,—,—,,,,not tested — no certificate covers it,,
1093,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,9.4,Microbiological Purity | Микробиолошка Чистота,Salmonella,Салмонела,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,—,—,,,,not tested — no certificate covers it,,
1094,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,9.5,Microbiological Purity | Микробиолошка Чистота,Escherichia coli,Ешерихија коли,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,not tested — no certificate covers it,,
1095,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,9.6,Microbiological Purity | Микробиолошка Чистота,Pseudomonas aeruginosa,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
1096,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,9.7,Microbiological Purity | Микробиолошка Чистота,Staphylococcus aureus,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
1097,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,10.1,Mycotoxins | Микотоксини,Aflatoxin B₁,Афлатоксин B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,—,—,,,,not tested — no certificate covers it,,ND (197-21-М/26)
1098,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,10.2,Mycotoxins | Микотоксини,Aflatoxins ∑,Афлатоксини ∑ (B₁+B₂+G₁+G₂),Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,—,—,,,,not tested — no certificate covers it,,ND (197-21-М/26)
1099,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,10.3,Mycotoxins | Микотоксини,Ochratoxin A,Охратоксин A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,—,—,,,,not tested — no certificate covers it,,ND (197-21-М/26)
1100,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,11.1,Heavy Metals | Тешки метали,Lead (Pb),Олово (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,—,—,,,,not tested — no certificate covers it,,
1101,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,11.2,Heavy Metals | Тешки метали,Cadmium (Cd),Кадмиум (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,—,—,,,,not tested — no certificate covers it,,
1102,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,11.3,Heavy Metals | Тешки метали,Arsenic (As),Арсен (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,—,—,,,,not tested — no certificate covers it,,
1103,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,11.4,Heavy Metals | Тешки метали,Mercury (Hg),Жива (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,—,—,,,,not tested — no certificate covers it,,
1104,CoQ-PP-2026-0026,initial release,25.05.2026,≥ 11.05.2026,P060382,SCR012603,Scrambler,II,iCoA-PP-2026-0026,12,,Pesticide Residues,Остатоци од пестициди,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,—,—,,,,not tested — no certificate covers it,,
1105,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
1106,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),2,,Identification B · Microscopic,Идентиф. Б · Микроскопски,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
1107,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),3,,Identification C · HPLC/HPTLC,Идентиф. Ц · HPLC/HPTLC,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 (CNP, before its Ph. Eur. 3028 accreditation)",Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms,ППК25052,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,
1108,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),4,,Assay — Total Δ⁹-THC,Анализа — вкупен Δ⁹-THC,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 (CNP, before its Ph. Eur. 3028 accreditation)","21.60 – 26.39 %  (grade II, nominal 24.00 ± 2.40)",23.00,ППК25052,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,28.12 (227-26-К/26)
1109,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),5,,Assay — Total CBD,Анализа — вкупен CBD,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 · CBD + CBDA x 0.877 (CNP, before its Ph. Eur. 3028 accreditation)","≤ 1.0%, w/w",0.05,ППК25052,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,<LOQ (227-26-К/26)
1110,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),6,,Total CBN,Вкупен CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",—,—,,,,not tested — no certificate covers it,,0.20 (227-26-К/26)
1111,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),7,,Foreign Matter,Страни материи,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
1112,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),8,,Loss on Drying,Губиток при сушење,"DAB 2018 monograph Cannabis flos, 2.2.32 — loss on drying (CNP, before its Ph. Eur. 3028 accreditation)",≤ 12.0%,5.91,ППК25052,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,
1113,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),9.1,Microbiological Purity | Микробиолошка Чистота,TAMC,Вкупен аеробен микробен број,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,8.4×10³,164/0272/25,24.02.2025,IPH — Institute of Public Health,IPH microbiology,covered,,< 10 (565/1096/26)
1114,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),9.2,Microbiological Purity | Микробиолошка Чистота,TYMC,Вкупен број квасци/мувли,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,<10,164/0272/25,24.02.2025,IPH — Institute of Public Health,IPH microbiology,covered,,10 (565/1096/26)
1115,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),9.3,Microbiological Purity | Микробиолошка Чистота,Bile-tolerant gram-neg.,Жолчно-толерантни грам-нег.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,<10,164/0272/25,24.02.2025,IPH — Institute of Public Health,IPH microbiology,covered,,< 10 (565/1096/26)
1116,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),9.4,Microbiological Purity | Микробиолошка Чистота,Salmonella,Салмонела,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,Одговара (absent),164/0272/25,24.02.2025,IPH — Institute of Public Health,IPH microbiology,covered,,Одговара (absent) (565/1096/26)
1117,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),9.5,Microbiological Purity | Микробиолошка Чистота,Escherichia coli,Ешерихија коли,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,Одговара (absent),164/0272/25,24.02.2025,IPH — Institute of Public Health,IPH microbiology,covered,,Одговара (absent) (565/1096/26)
1118,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),9.6,Microbiological Purity | Микробиолошка Чистота,Pseudomonas aeruginosa,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
1119,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),9.7,Microbiological Purity | Микробиолошка Чистота,Staphylococcus aureus,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
1120,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),10.1,Mycotoxins | Микотоксини,Aflatoxin B₁,Афлатоксин B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,—,—,,,,not tested — no certificate covers it,,
1121,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),10.2,Mycotoxins | Микотоксини,Aflatoxins ∑,Афлатоксини ∑ (B₁+B₂+G₁+G₂),Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,<2,750/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,
1122,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),10.3,Mycotoxins | Микотоксини,Ochratoxin A,Охратоксин A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,—,—,,,,not tested — no certificate covers it,,
1123,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),11.1,Heavy Metals | Тешки метали,Lead (Pb),Олово (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,0.036,750/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,
1124,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),11.2,Heavy Metals | Тешки метали,Cadmium (Cd),Кадмиум (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,0.013,750/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,
1125,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),11.3,Heavy Metals | Тешки метали,Arsenic (As),Арсен (As),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.2 mg/kg,0.063,750/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,
1126,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),11.4,Heavy Metals | Тешки метали,Mercury (Hg),Жива (Hg),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.1 mg/kg,0.006,750/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,
1127,(assigned on issue),initial release — predicted,27.02.2025,≥ 11.05.2026,,CJ1024,Cup Junky,,(assigned on issue),12,,Pesticide Residues,Остатоци од пестициди,Ph. Eur. 2.8.13 (LC-MS/MS) · CUMCS Equivalency,≤ LOQ as per Ph. Eur. 2.8.13 · ≤ LOQ as per CUMCS Equivalency,N.D.,750/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,
1128,(assigned on issue),initial release — predicted,17.04.2025,≥ 11.05.2026,P050102,GP0824_01,Grape Pie,,(assigned on issue),1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
1129,(assigned on issue),initial release — predicted,17.04.2025,≥ 11.05.2026,P050102,GP0824_01,Grape Pie,,(assigned on issue),2,,Identification B · Microscopic,Идентиф. Б · Микроскопски,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
1130,(assigned on issue),initial release — predicted,17.04.2025,≥ 11.05.2026,P050102,GP0824_01,Grape Pie,,(assigned on issue),3,,Identification C · HPLC/HPTLC,Идентиф. Ц · HPLC/HPTLC,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 (CNP, before its Ph. Eur. 3028 accreditation)",Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms,ППК25105,17.04.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,
1131,(assigned on issue),initial release — predicted,17.04.2025,≥ 11.05.2026,P050102,GP0824_01,Grape Pie,,(assigned on issue),4,,Assay — Total Δ⁹-THC,Анализа — вкупен Δ⁹-THC,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 (CNP, before its Ph. Eur. 3028 accreditation)","18.00 – 21.99 %  (grade III, nominal 20.00 ± 2.00)",20.79,ППК25105,17.04.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,28.68 (227-2-К/26)
1132,(assigned on issue),initial release — predicted,17.04.2025,≥ 11.05.2026,P050102,GP0824_01,Grape Pie,,(assigned on issue),5,,Assay — Total CBD,Анализа — вкупен CBD,"HPLC — DAB 2018 monograph Cannabis flos, 2.2.29 · CBD + CBDA x 0.877 (CNP, before its Ph. Eur. 3028 accreditation)","≤ 1.0%, w/w",0.06,ППК25105,17.04.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,<LOQ (227-2-К/26)
1133,(assigned on issue),initial release — predicted,17.04.2025,≥ 11.05.2026,P050102,GP0824_01,Grape Pie,,(assigned on issue),6,,Total CBN,Вкупен CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",—,—,,,,not tested — no certificate covers it,,0.25 (227-2-К/26)
1134,(assigned on issue),initial release — predicted,17.04.2025,≥ 11.05.2026,P050102,GP0824_01,Grape Pie,,(assigned on issue),7,,Foreign Matter,Страни материи,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
